"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
2,2,48.1861371523312,17.9360899602241,194,3603,1
2,2,48.1861371523312,17.9360899602241,194,3603,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,NA
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,NA
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,NA,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,NA
1,2,39.3534617589293,18.3916009652455,189,3927,NA
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
2,2,48.1861371523312,17.9360899602241,194,3603,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
2,2,48.1861371523312,17.9360899602241,194,3603,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
2,2,48.1861371523312,17.9360899602241,194,3603,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
2,2,48.1861371523312,17.9360899602241,194,3603,1
2,2,48.1861371523312,17.9360899602241,194,3603,NA
2,2,48.1861371523312,17.9360899602241,194,3603,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
2,2,48.1861371523312,17.9360899602241,194,3603,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
3,1,47.2228850780216,14.9686107091306,216,4990,1
1,2,39.3534617589293,18.3916009652455,189,3927,2
